Acc_Species_Name,Family,Genus,Species,Authority
Abelmoschus esculentus (L.) Moench,Malvaceae,Abelmoschus,esculentus,(L.) Moench
Abutilon megapotamicum (A.Spreng.) A.St.-Hil. & Naudin,Malvaceae,Abutilon,megapotamicum,(A.Spreng.) A.St.-Hil. & Naudin
Acacia willdenowiana Wendl.,Fabaceae,Acacia,willdenowiana,Wendl.
Acacia baileyana F.Muell.,Fabaceae,Acacia,baileyana,F.Muell.
Acacia confusa Merr.,Fabaceae,Acacia,confusa,Merr.
Acacia decurrens Willd.,Fabaceae,Acacia,decurrens,Willd.
Acacia elata Benth.,Fabaceae,Acacia,elata,Benth.
Acacia karroo Hayne,Fabaceae,Acacia,karroo,Hayne
Acacia maidenii F.Muell.,Fabaceae,Acacia,maidenii,F.Muell.
Acacia mangium Willd.,Fabaceae,Acacia,mangium,Willd.
Acacia podalyriifolia G.Don,Fabaceae,Acacia,podalyriifolia,G.Don
Acacia robusta Burch.,Fabaceae,Acacia,robusta,Burch.
Acacia tortilis (Forssk.) Hayne,Fabaceae,Acacia,tortilis,(Forssk.) Hayne
Acalypha amentacea Roxb.,Euphorbiaceae,Acalypha,amentacea,Roxb.
Acalypha australis L.,Euphorbiaceae,Acalypha,australis,L.
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Euphorbiaceae,Acalypha,chamaedrifolia,(Lam.) Müll.Arg.
Acalypha hispida Burm.f.,Euphorbiaceae,Acalypha,hispida,Burm.f.
Acalypha wilkesiana Müll.Arg.,Euphorbiaceae,Acalypha,wilkesiana,Müll.Arg.
Acca sellowiana (O.Berg) Burret,Myrtaceae,Acca,sellowiana,(O.Berg) Burret
Achimenes grandiflora (Schiede) DC.,Gesneriaceae,Achimenes,grandiflora,(Schiede) DC.
Acokanthera oblongifolia (Hochst.) Benth. & Hook.f. ex B.D.Jacks.,Apocynaceae,Acokanthera,oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.
Adansonia digitata L.,Malvaceae,Adansonia,digitata,L.
Adenanthera microsperma Teijsm. & Binn.,Fabaceae,Adenanthera,microsperma,Teijsm. & Binn.
Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Adenium,obesum,(Forssk.) Roem. & Schult.
Afzelia martabanica (Prain) J.Leonard,Fabaceae,Afzelia,martabanica,(Prain) J.Leonard
Agathis macrophylla (Lindl.) Mast.,Araucariaceae,Agathis,macrophylla,(Lindl.) Mast.
Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey,Araucariaceae,Agathis,robusta,(C.Moore ex F.Muell.) F.M.Bailey
Agave decipiens Baker,Asparagaceae,Agave,decipiens,Baker
Agave sisalana Perrine,Asparagaceae,Agave,sisalana,Perrine
Agave victoriae-reginae T.Moore,Asparagaceae,Agave,victoriae-reginae,T.Moore
Aglaia odorata Lour.,Meliaceae,Aglaia,odorata,Lour.
Albizia saman (Jacq.) Merr.,Fabaceae,Albizia,saman,(Jacq.) Merr.
Vernicia fordii (Hemsl.) Airy Shaw,Euphorbiaceae,Vernicia,fordii,(Hemsl.) Airy Shaw
Aleurites moluccanus (L.) Willd.,Euphorbiaceae,Aleurites,moluccanus,(L.) Willd.
Allamanda blanchetii A.DC.,Apocynaceae,Allamanda,blanchetii,A.DC.
Allamanda schottii Pohl,Apocynaceae,Allamanda,schottii,Pohl
Allium cepa L.,Amaryllidaceae,Allium,cepa,L.
Allium sativum L.,Amaryllidaceae,Allium,sativum,L.
Alocasia macrorrhizos (L.) G.Don,Araceae,Alocasia,macrorrhizos,(L.) G.Don
Alocasia sanderiana W.Bull,Araceae,Alocasia,sanderiana,W.Bull
Aloe variegata L.,Asphodelaceae,Aloe,variegata,L.
Alpinia nutans (L.) Roscoe,Zingiberaceae,Alpinia,nutans,(L.) Roscoe
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Alstonia,macrophylla,Wall. ex G.Don
Amherstia nobilis Wall.,Fabaceae,Amherstia,nobilis,Wall.
Ammi majus L.,Apiaceae,Ammi,majus,L.
Ananas comosus (L.) Merr.,Bromeliaceae,Ananas,comosus,(L.) Merr.
Anchusa capensis Thunb.,Boraginaceae,Anchusa,capensis,Thunb.
Andira inermis (Wright) DC.,Fabaceae,Andira,inermis,(Wright) DC.
Angelonia salicariifolia Bonpl.,Plantaginaceae,Angelonia,salicariifolia,Bonpl.
Annona cherimola Mill.,Annonaceae,Annona,cherimola,Mill.
Annona muricata L.,Annonaceae,Annona,muricata,L.
Annona purpurea Moc. & Sessé ex Dunal,Annonaceae,Annona,purpurea,Moc. & Sessé ex Dunal
Annona reticulata L.,Annonaceae,Annona,reticulata,L.
Annona squamosa L.,Annonaceae,Annona,squamosa,L.
Aphelandra pulcherrima (Jacq.) Kunth,Acanthaceae,Aphelandra,pulcherrima,(Jacq.) Kunth
Arachis hypogaea L.,Fabaceae,Arachis,hypogaea,L.
Araucaria angustifolia (Bertol.) Kuntze,Araucariaceae,Araucaria,angustifolia,(Bertol.) Kuntze
Araucaria bidwillii Hook.,Araucariaceae,Araucaria,bidwillii,Hook.
Araucaria columnaris (G.Forst.) Hook.,Araucariaceae,Araucaria,columnaris,(G.Forst.) Hook.
Araucaria cunninghamii Mudie,Araucariaceae,Araucaria,cunninghamii,Mudie
Arctotis stoechadifolia P.J.Bergius,Asteraceae,Arctotis,stoechadifolia,P.J.Bergius
Arenga pinnata (Wurmb) Merr.,Arecaceae,Arenga,pinnata,(Wurmb) Merr.
Arfeuillea arborescens Pierre ex Radlk.,Sapindaceae,Arfeuillea,arborescens,Pierre ex Radlk.
Argyranthemum frutescens (L.) Sch.Bip.,Asteraceae,Argyranthemum,frutescens,(L.) Sch.Bip.
Aristolochia fimbriata Cham.,Aristolochiaceae,Aristolochia,fimbriata,Cham.
Aristolochia littoralis Parodi,Aristolochiaceae,Aristolochia,littoralis,Parodi
Aristolochia grandiflora Sw.,Aristolochiaceae,Aristolochia,grandiflora,Sw.
Aristolochia labiata Willd.,Aristolochiaceae,Aristolochia,labiata,Willd.
Aristolochia cymbifera Mart.,Aristolochiaceae,Aristolochia,cymbifera,Mart.
Aristolochia macroura Ortega,Aristolochiaceae,Aristolochia,macroura,Ortega
Aristolochia ridicula N.E.Br.,Aristolochiaceae,Aristolochia,ridicula,N.E.Br.
Aristolochia ringens Vahl,Aristolochiaceae,Aristolochia,ringens,Vahl
Aristolochia tomentosa Sims,Aristolochiaceae,Aristolochia,tomentosa,Sims
Artabotrys hexapetalus (L.f.) Bhandari,Annonaceae,Artabotrys,hexapetalus,(L.f.) Bhandari
Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg,Moraceae,Artocarpus,altilis,(Parkinson ex F.A.Zorn) Fosberg
Asparagus setaceus (Kunth) Jessop,Asparagaceae,Asparagus,setaceus,(Kunth) Jessop
Ateleia herbert-smithii Pittier,Fabaceae,Ateleia,herbert-smithii,Pittier
Averrhoa bilimbi L.,Oxalidaceae,Averrhoa,bilimbi,L.
Averrhoa carambola L.,Oxalidaceae,Averrhoa,carambola,L.
Sannantha virgata (J.R.Forst. & G.Forst.) Peter G.Wilson,Myrtaceae,Sannantha,virgata,(J.R.Forst. & G.Forst.) Peter G.Wilson
Bambusa multiplex (Lour.) Raeusch. ex Schult.,Poaceae,Bambusa,multiplex,(Lour.) Raeusch. ex Schult.
Bambusa longispiculata Gamble,Poaceae,Bambusa,longispiculata,Gamble
Bambusa tuldoides Munro,Poaceae,Bambusa,tuldoides,Munro
Banisteriopsis laevifolia (A.Juss.) B.Gates,Malpighiaceae,Banisteriopsis,laevifolia,(A.Juss.) B.Gates
Baphia massaiensis Taub.,Fabaceae,Baphia,massaiensis,Taub.
Baphia nitida Lodd.,Fabaceae,Baphia,nitida,Lodd.
Barleria lupulina Lindl.,Acanthaceae,Barleria,lupulina,Lindl.
Barringtonia asiatica (L.) Kurz,Lecythidaceae,Barringtonia,asiatica,(L.) Kurz
Bauhinia blakeana Dunn,Fabaceae,Bauhinia,blakeana,Dunn
Bauhinia carronii F.Muell.,Fabaceae,Bauhinia,carronii,F.Muell.
Bauhinia corymbosa Roxb. ex DC.,Fabaceae,Bauhinia,corymbosa,Roxb. ex DC.
Bauhinia galpinii N.E.Br.,Fabaceae,Bauhinia,galpinii,N.E.Br.
Bauhinia hookeri F.Muell.,Fabaceae,Bauhinia,hookeri,F.Muell.
Bauhinia monandra Kurz,Fabaceae,Bauhinia,monandra,Kurz
Bauhinia picta (Kunth) DC.,Fabaceae,Bauhinia,picta,(Kunth) DC.
Bauhinia tomentosa L.,Fabaceae,Bauhinia,tomentosa,L.
Bauhinia variegata L.,Fabaceae,Bauhinia,variegata,L.
Beaucarnea stricta Lem.,Asparagaceae,Beaucarnea,stricta,Lem.
Justicia brandegeeana Wassh. & L.B.Sm.,Acanthaceae,Justicia,brandegeeana,Wassh. & L.B.Sm.
Benincasa hispida (Thunb.) Cogn.,Cucurbitaceae,Benincasa,hispida,(Thunb.) Cogn.
Berrya javanica (Turcz.) Burret,Malvaceae,Berrya,javanica,(Turcz.) Burret
Beta vulgaris L.,Amaranthaceae,Beta,vulgaris,L.
Bignonia capreolata L.,Bignoniaceae,Bignonia,capreolata,L.
Begonia manicata Brongn.,Begoniaceae,Begonia,manicata,Brongn.
Bixa orellana L.,Bixaceae,Bixa,orellana,L.
Blighia sapida K.D.Koenig,Sapindaceae,Blighia,sapida,K.D.Koenig
Boehmeria nivea (L.) Gaudich.,Urticaceae,Boehmeria,nivea,(L.) Gaudich.
Bolusanthus speciosus (Bolus) Harms,Fabaceae,Bolusanthus,speciosus,(Bolus) Harms
Brachychiton acerifolius (A.Cunn. ex G.Don) F.Muell.,Malvaceae,Brachychiton,acerifolius,(A.Cunn. ex G.Don) F.Muell.
Brachychiton populneus (Schott & Endl.) R.Br.,Malvaceae,Brachychiton,populneus,(Schott & Endl.) R.Br.
Brachyscome iberidifolia Benth.,Asteraceae,Brachyscome,iberidifolia,Benth.
Brassica napus L.,Brassicaceae,Brassica,napus,L.
Brassica nigra (L.) K.Koch,Brassicaceae,Brassica,nigra,(L.) K.Koch
Brassica oleracea L.,Brassicaceae,Brassica,oleracea,L.
Browallia americana L.,Solanaceae,Browallia,americana,L.
Brownea ariza Benth.,Fabaceae,Brownea,ariza,Benth.
Brownea coccinea Jacq.,Fabaceae,Brownea,coccinea,Jacq.
Brownea grandiceps Jacq.,Fabaceae,Brownea,grandiceps,Jacq.
Brugmansia arborea (L.) Sweet,Solanaceae,Brugmansia,arborea,(L.) Sweet
Brugmansia sanguinea (Ruiz & Pav.) D.Don,Solanaceae,Brugmansia,sanguinea,(Ruiz & Pav.) D.Don
Brunfelsia densifolia Krug & Urb.,Solanaceae,Brunfelsia,densifolia,Krug & Urb.
Brunfelsia latifolia (Pohl) Benth.,Solanaceae,Brunfelsia,latifolia,(Pohl) Benth.
Brunfelsia pauciflora (Cham. & Schltdl.) Benth.,Solanaceae,Brunfelsia,pauciflora,(Cham. & Schltdl.) Benth.
Brunfelsia uniflora (Pohl) D.Don,Solanaceae,Brunfelsia,uniflora,(Pohl) D.Don
Buddleja asiatica Lour.,Scrophulariaceae,Buddleja,asiatica,Lour.
Buddleja madagascariensis Lam.,Scrophulariaceae,Buddleja,madagascariensis,Lam.
Bursera penicillata (Sessé & Moc. ex DC.) Engl.,Burseraceae,Bursera,penicillata,(Sessé & Moc. ex DC.) Engl.
Caesalpinia coriaria (Jacq.) Willd.,Fabaceae,Caesalpinia,coriaria,(Jacq.) Willd.
Caesalpinia ferrea Mart.,Fabaceae,Caesalpinia,ferrea,Mart.
Caesalpinia pulcherrima (L.) Sw.,Fabaceae,Caesalpinia,pulcherrima,(L.) Sw.
Caesalpinia punctata Willd.,Fabaceae,Caesalpinia,punctata,Willd.
Caesalpinia sappan L.,Fabaceae,Caesalpinia,sappan,L.
Caesalpinia violacea (Mill.) Standl.,Fabaceae,Caesalpinia,violacea,(Mill.) Standl.
Cajanus cajan (L.) Millsp.,Fabaceae,Cajanus,cajan,(L.) Millsp.
Calliandra brevipes Benth.,Fabaceae,Calliandra,brevipes,Benth.
Calliandra haematocephala Hassk.,Fabaceae,Calliandra,haematocephala,Hassk.
Calliandra houstoniana (Mill.) Standl.,Fabaceae,Calliandra,houstoniana,(Mill.) Standl.
Zapoteca portoricensis (Jacq.) H.M.Hern.,Fabaceae,Zapoteca,portoricensis,(Jacq.) H.M.Hern.
Calliandra tweedii Benth.,Fabaceae,Calliandra,tweedii,Benth.
Callistemon brachyandrus Lindl.,Myrtaceae,Callistemon,brachyandrus,Lindl.
Callistemon coccineus F.Muell.,Myrtaceae,Callistemon,coccineus,F.Muell.
Callistemon lanceolatus DC.,Myrtaceae,Callistemon,lanceolatus,DC.
Callistemon linearis (Schrad. & J.C.Wendl.) Colv. ex Sweet,Myrtaceae,Callistemon,linearis,(Schrad. & J.C.Wendl.) Colv. ex Sweet
Callistemon polandii F.M.Bailey,Myrtaceae,Callistemon,polandii,F.M.Bailey
Callistephus chinensis (L.) Nees,Asteraceae,Callistephus,chinensis,(L.) Nees
Callitris columellaris F.Muell.,Cupressaceae,Callitris,columellaris,F.Muell.
Calophyllum inophyllum L.,Calophyllaceae,Calophyllum,inophyllum,L.
Calycophyllum spruceanum (Benth.) Hook.f. ex K.Schum.,Rubiaceae,Calycophyllum,spruceanum,(Benth.) Hook.f. ex K.Schum.
Camellia japonica L.,Theaceae,Camellia,japonica,L.
Campsis grandiflora (Thunb.) K.Schum.,Bignoniaceae,Campsis,grandiflora,(Thunb.) K.Schum.
Campsis radicans (L.) Seem.,Bignoniaceae,Campsis,radicans,(L.) Seem.
Cananga odorata (Lam.) Hook.f. & Thomson,Annonaceae,Cananga,odorata,(Lam.) Hook.f. & Thomson
Canavalia ensiformis (L.) DC.,Fabaceae,Canavalia,ensiformis,(L.) DC.
Canavalia gladiata (Jacq.) DC.,Fabaceae,Canavalia,gladiata,(Jacq.) DC.
Canna indica L.,Cannaceae,Canna,indica,L.
Canna flaccida Salisb.,Cannaceae,Canna,flaccida,Salisb.
Capsicum annuum L.,Solanaceae,Capsicum,annuum,L.
Capsicum frutescens L.,Solanaceae,Capsicum,frutescens,L.
Carapichea ipecacuanha (Brot.) L.Andersson,Rubiaceae,Carapichea,ipecacuanha,(Brot.) L.Andersson
Vasconcellea pubescens A.DC.,Caricaceae,Vasconcellea,pubescens,A.DC.
Carica papaya L.,Caricaceae,Carica,papaya,L.
Carissa bispinosa (L.) Desf. ex Brenan,Apocynaceae,Carissa,bispinosa,(L.) Desf. ex Brenan
Carissa carandas L.,Apocynaceae,Carissa,carandas,L.
Carissa macrocarpa (Eckl.) A.DC.,Apocynaceae,Carissa,macrocarpa,(Eckl.) A.DC.
Carpentaria acuminata (H.Wendl. & Drude) Becc.,Arecaceae,Carpentaria,acuminata,(H.Wendl. & Drude) Becc.
Carthamus tinctorius L.,Asteraceae,Carthamus,tinctorius,L.
Caryota urens L.,Arecaceae,Caryota,urens,L.
Casimiroa edulis La Llave,Rutaceae,Casimiroa,edulis,La Llave
Cassia grandis L.f.,Fabaceae,Cassia,grandis,L.f.
Cassia phyllodinea R.Br.,Fabaceae,Cassia,phyllodinea,R.Br.
Castanea sativa Mill.,Fagaceae,Castanea,sativa,Mill.
Casuarina cunninghamiana Miq.,Casuarinaceae,Casuarina,cunninghamiana,Miq.
Catesbaea spinosa L.,Rubiaceae,Catesbaea,spinosa,L.
Ceiba insignis (Kunth) P.E.Gibbs & Semir,Malvaceae,Ceiba,insignis,(Kunth) P.E.Gibbs & Semir
Ceiba pentandra (L.) Gaertn.,Malvaceae,Ceiba,pentandra,(L.) Gaertn.
Amberboa moschata (L.) DC.,Asteraceae,Amberboa,moschata,(L.) DC.
Centrolobium paraense Tul.,Fabaceae,Centrolobium,paraense,Tul.
Centrosema plumieri (Pers.) Benth.,Fabaceae,Centrosema,plumieri,(Pers.) Benth.
Cephalotaxus harringtonii (Knight ex J.Forbes) K.Koch,Taxaceae,Cephalotaxus,harringtonii,(Knight ex J.Forbes) K.Koch
Ceratonia siliqua L.,Fabaceae,Ceratonia,siliqua,L.
Cestrum parqui L'Hér.,Solanaceae,Cestrum,parqui,L'Hér.
Chaenomeles speciosa (Sweet) Nakai,Rosaceae,Chaenomeles,speciosa,(Sweet) Nakai
Chamaerops humilis L.,Arecaceae,Chamaerops,humilis,L.
Erysimum ×cheiri (L.) Crantz,Brassicaceae,Erysimum,cheiri,(L.) Crantz
Chimonanthus praecox (L.) Link,Calycanthaceae,Chimonanthus,praecox,(L.) Link
Chiococca alba (L.) Hitchc.,Rubiaceae,Chiococca,alba,(L.) Hitchc.
Chlorophytum comosum (Thunb.) Jacques,Asparagaceae,Chlorophytum,comosum,(Thunb.) Jacques
Choisya ternata Kunth,Rutaceae,Choisya,ternata,Kunth
Chonemorpha fragrans (Moon) Alston,Apocynaceae,Chonemorpha,fragrans,(Moon) Alston
Ceiba speciosa (A.St.-Hil.) Ravenna,Malvaceae,Ceiba,speciosa,(A.St.-Hil.) Ravenna
Ceiba ventricosa (Nees & Mart.) Ravenna,Malvaceae,Ceiba,ventricosa,(Nees & Mart.) Ravenna
Chorizema ilicifolium Labill.,Fabaceae,Chorizema,ilicifolium,Labill.
Christia vespertilionis (L.f.) Bakh.f.,Fabaceae,Christia,vespertilionis,(L.f.) Bakh.f.
Chrysanthemum indicum L.,Asteraceae,Chrysanthemum,indicum,L.
Chrysophyllum cainito L.,Sapotaceae,Chrysophyllum,cainito,L.
Chrysophyllum oliviforme L.,Sapotaceae,Chrysophyllum,oliviforme,L.
Cicer arietinum L.,Fabaceae,Cicer,arietinum,L.
Cinchona calisaya Wedd.,Rubiaceae,Cinchona,calisaya,Wedd.
Cinchona officinalis L.,Rubiaceae,Cinchona,officinalis,L.
Cinchona pubescens Vahl,Rubiaceae,Cinchona,pubescens,Vahl
Cinnamomum burmanni (Nees & T.Nees) Blume,Lauraceae,Cinnamomum,burmanni,(Nees & T.Nees) Blume
Cinnamomum verum J.Presl,Lauraceae,Cinnamomum,verum,J.Presl
Citrus aurantiifolia (Christm.) Swingle,Rutaceae,Citrus,aurantiifolia,(Christm.) Swingle
Citrus maxima (Burm.) Merr.,Rutaceae,Citrus,maxima,(Burm.) Merr.
Citrus paradisi Macfad.,Rutaceae,Citrus,paradisi,Macfad.
Citrus reticulata Blanco,Rutaceae,Citrus,reticulata,Blanco
Citrus sinensis (L.) Osbeck,Rutaceae,Citrus,sinensis,(L.) Osbeck
Clarkia pulchella Pursh,Onagraceae,Clarkia,pulchella,Pursh
Clausena lansium (Lour.) Skeels,Rutaceae,Clausena,lansium,(Lour.) Skeels
Clerodendrum calamitosum L.,Lamiaceae,Clerodendrum,calamitosum,L.
Clerodendrum japonicum (Thunb.) Sweet,Lamiaceae,Clerodendrum,japonicum,(Thunb.) Sweet
Clerodendrum speciosissimum Drapiez,Lamiaceae,Clerodendrum,speciosissimum,Drapiez
Clerodendrum splendens G.Don,Lamiaceae,Clerodendrum,splendens,G.Don
Clusia rosea Jacq.,Clusiaceae,Clusia,rosea,Jacq.
Coccoloba uvifera (L.) L.,Polygonaceae,Coccoloba,uvifera,(L.) L.
Codiaeum variegatum (L.) Rumph. ex A.Juss.,Euphorbiaceae,Codiaeum,variegatum,(L.) Rumph. ex A.Juss.
Coffea arabica L.,Rubiaceae,Coffea,arabica,L.
Coffea canephora Pierre ex A.Froehner,Rubiaceae,Coffea,canephora,Pierre ex A.Froehner
Coffea liberica Hiern,Rubiaceae,Coffea,liberica,Hiern
Coffea stenophylla G.Don,Rubiaceae,Coffea,stenophylla,G.Don
Cola acuminata (P.Beauv.) Schott & Endl.,Malvaceae,Cola,acuminata,(P.Beauv.) Schott & Endl.
Cola nitida (Vent.) Schott & Endl.,Malvaceae,Cola,nitida,(Vent.) Schott & Endl.
Colletia paradoxa (Spreng.) Escal.,Rhamnaceae,Colletia,paradoxa,(Spreng.) Escal.
Colubrina asiatica (L.) Brongn.,Rhamnaceae,Colubrina,asiatica,(L.) Brongn.
Colvillea racemosa Bojer,Fabaceae,Colvillea,racemosa,Bojer
Combretum coccineum (Sonn.) Lam.,Combretaceae,Combretum,coccineum,(Sonn.) Lam.
Combretum comosum G.Don,Combretaceae,Combretum,comosum,G.Don
Combretum grandiflorum G.Don,Combretaceae,Combretum,grandiflorum,G.Don
Congea tomentosa Roxb.,Lamiaceae,Congea,tomentosa,Roxb.
Consolida ajacis (L.) Schur,Ranunculaceae,Consolida,ajacis,(L.) Schur
Cordia africana Lam.,Boraginaceae,Cordia,africana,Lam.
Cordia alba (Jacq.) Roem. & Schult.,Boraginaceae,Cordia,alba,(Jacq.) Roem. & Schult.
Cordia sebestena L.,Boraginaceae,Cordia,sebestena,L.
Cordia subcordata Lam.,Boraginaceae,Cordia,subcordata,Lam.
Coreopsis lanceolata L.,Asteraceae,Coreopsis,lanceolata,L.
Coreopsis stillmanii (A.Gray) S.F.Blake,Asteraceae,Coreopsis,stillmanii,(A.Gray) S.F.Blake
Coreopsis tinctoria Nutt.,Asteraceae,Coreopsis,tinctoria,Nutt.
Corymbia calophylla (R.Br. ex Lindl.) K.D.Hill & L.A.S.Johnson,Myrtaceae,Corymbia,calophylla,(R.Br. ex Lindl.) K.D.Hill & L.A.S.Johnson
Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Myrtaceae,Corymbia,dichromophloia,(F.Muell.) K.D.Hill & L.A.S.Johnson
Corymbia torelliana (F.Muell.) K.D.Hill & L.A.S.Johnson,Myrtaceae,Corymbia,torelliana,(F.Muell.) K.D.Hill & L.A.S.Johnson
Corypha umbraculifera L.,Arecaceae,Corypha,umbraculifera,L.
Couroupita guianensis Aubl.,Lecythidaceae,Couroupita,guianensis,Aubl.
Crescentia cujete L.,Bignoniaceae,Crescentia,cujete,L.
Crocus sativus L.,Iridaceae,Crocus,sativus,L.
Crotalaria agatiflora Schweinf.,Fabaceae,Crotalaria,agatiflora,Schweinf.
Crotalaria spectabilis Roth,Fabaceae,Crotalaria,spectabilis,Roth
Croton tiglium L.,Euphorbiaceae,Croton,tiglium,L.
Cryptomeria japonica (Thunb. ex L.f.) D.Don,Cupressaceae,Cryptomeria,japonica,(Thunb. ex L.f.) D.Don
Cucurbita maxima Duchesne,Cucurbitaceae,Cucurbita,maxima,Duchesne
Cucurbita moschata Duchesne,Cucurbitaceae,Cucurbita,moschata,Duchesne
Cucurbita pepo L.,Cucurbitaceae,Cucurbita,pepo,L.
Cuminum cyminum L.,Apiaceae,Cuminum,cyminum,L.
Cunninghamia lanceolata (Lamb.) Hook.,Cupressaceae,Cunninghamia,lanceolata,(Lamb.) Hook.
