Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,1,399,554,,,,,,,NL
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,499,PL
Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,,
Cosmos bipinnatus Cav.,,,,,,,,,,
Cosmos sulphureus Cav.,,,,,,,,,,
Costus erythrophyllus Loes.,1,,184,,,,,,499,NL;PL
Costus malortieanus H.Wendl.,1,349,2354,,,,,,399,NL;PL
Cotoneaster transens G.Klotz,,,,,,,,,,
Cotula australis (Sieber ex Spreng.) Hook.f.,,,,,,,,,,
Crassocephalum crepidioides (Benth.) S.Moore,,,,,,,,,,
Crassocephalum vitellinum (Benth.) S.Moore,,,,,,,,,,
Crassula coccinea L.,,,,,,,,,,
Crassula multicava Lem.,,,,,,,,,,
Crataegus monogyna Jacq.,,,,,,,,,,
Craterostigma plantagineum Hochst.,,,,,,,,,,
Crepis sancta (L.) Bornm.,,,,,,,,,,
Crescentia alata Kunth,,,,,,,,,,
Crinum moorei Hook.f.,,,,1,52,,,593,399,NL;PL
Crocosmia pottsii (Baker) N.E.Br.,,,,,,,,,,
Crossostephium artemisioides Less.,,,,,,,,,,
Crotalaria goreensis Guill. & Perr.,,,,,,,,,,
Crotalaria incana L.,,,,,,,,,,
Crotalaria juncea L.,,,,1,85,0.5,,148,899,NL;PL
Crotalaria medicaginea Lam.,,,,,,,,,,
Crotalaria micans Link,,,,,,,,,,
Crotalaria pallida Aiton,,,,,,,,,,
Croton bonplandianus Baill.,,,,,,,,,,
Croton hirtus L'Hér.,,,,,,,,,,
Cryosophila nana (Kunth) Blume,,,,,,,,,,
Cryptanthus zonatus (Vis.) Beer,,,,,,,,,399,PL
Cryptostegia grandiflora Roxb. ex R.Br.,,,,,,,,,399,PL
Cryptostegia madagascariensis Bojer ex Decne.,,,,,,,,,,
Cuphea bustamanta Lex.,,,,,,,,,,
Cuphea hyssopifolia Kunth,1,349,547,,,,,,291,NL;PL
Cuphea ignea A.DC.,,,,,,,,,399,PL
Cuphea lanceolata W.T.Aiton,,,,,,,,,,
Cuphea llavea Lex.,,,,,,,,,399,PL
Cuphea melvilla Lindl.,,,,,,,,,399,PL
Cuphea micropetala Kunth,,,,,,,,,,
Cupressus arizonica Greene,,,,,,,,,,
Cupressus goveniana Gordon,,,,,,,,,,
Curcuma zanthorrhiza Roxb.,,,,,,,,,,
Cuscuta campestris Yunck.,,,,,,,,,,
Cuscuta chinensis Lam.,,,,,,,,,,
Cuscuta pentagona Engelm.,,,,,,,,,,
Cuscuta planiflora Ten.,,,,,,,,,,
Cyanus segetum Hill,,,,,,,,,,
Cycas revoluta Thunb.,1,799,323,,,,,,554,NL;PL
Cyclanthus bipartitus Poit. ex A.Rich.,,,,,,,,,,
Cyclospermum leptophyllum (Pers.) Sprague,,,,,,,,,,
Cylindropuntia ramosissima (Engelm.) F.M.Knuth,,,,,,,,,399,PL
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",,,,,,,,,,
Cymbopogon citratus (DC.) Stapf,,,,,,,,,499,PL
Cymbopogon winterianus Jowitt ex Bor,,,,,,,,,,
Cynara cardunculus L.,,,,,,,,,,
Cynodon dactylon (L.) Pers.,,,,,,,,,499,PL
Cynodon plectostachyus (K.Schum.) Pilg.,,,,,,,,,,
Cynometra cauliflora L.,,,,,,,,,,
Cyperus alopecuroides Rottb.,,,,,,,,,,
Cyperus alternifolius L.,,,,,,,,,399,PL
Cyperus arenarius Retz.,,,,,,,,,,
Cyperus cruentus Rottb.,,,,,,,,,,
Cyperus difformis L.,,,,,,,,,,
Cyperus dubius Rottb.,,,,,,,,,,
Cyperus esculentus L.,,,,,,,,,,
Cyperus fuscus L.,,,,,,,,,,
Cyperus glomeratus L.,,,,,,,,,,
Cyperus hamulosus M.Bieb.,,,,,,,,,,
Cyperus involucratus Rottb.,,,,,,,,,399,PL
Cyperus iria L.,,,,,,,,,,
Cyperus longus L.,,,,,,,,,,
Cyperus michelianus (L.) Delile,,,,,,,,,,
Cyperus papyrus L.,1,749,212,,,,,,399,NL;PL
Cyperus prolifer Lam.,,,,,,,,,399,PL
Cyperus rotundus L.,,,,,,,,,,
Cyperus sphacelatus Rottb.,,,,,,,,,,
Cyperus surinamensis Rottb.,,,,,,,,,,
Cyrtostachys renda Blume,1,,125,,,,,,799,NL;PL
Cytisus hirsutus L.,,,,,,,,,,
Cytisus multiflorus (L'Her.) Sweet,,,,,,,,,,
Cytisus proliferus L.f.,,,,,,,,,,
Cytisus scoparius (L.) Link,,,,,,,,,,
Daboecia cantabrica (Huds.) K.Koch,,,,,,,,,,
Dactyliandra welwitschii Hook.f.,,,,,,,,,,
Dactylis glomerata L.,,,,,,,,,,
Dactyloctenium aegyptium (L.) Willd.,,,,,,,,,499,PL
Dactyloctenium australe Steud.,,,,,,,,,,
Dactyloctenium scindicum Boiss.,,,,,,,,,,
Dahlia coccinea Cav.,,,,,,,,,,
Dahlia imperialis Roezl ex Ortgies,,,,,,,,,479,PL
Dahlia pinnata Cav.,,,,,,,,,,
Dalbergia melanoxylon Guill. & Perr.,,,,,,,,,,
Dalechampia tamifolia Lam.,,,,,,,,,,
Daphnopsis anomala (Kunth) Domke,,,,,,,,,,
Datura ferox L.,,,,,,,,,,
Datura inoxia Mill.,,,,,,,,,,
Datura metel L.,,,,1,,0.5,,141,499,NL;PL
Datura quercifolia Kunth,,,,,,,,,,
Datura stramonium L.,,,,,,,,,399,PL
Daucus carota L.,,,,,,,,,499,PL
Deeringia amaranthoides (Lam.) Merr.,,,,,,,,,,
Delairea odorata Lem.,,,,,,,,,,
Delonix regia (Hook.) Raf.,1,349,181,1,735,0.5,,267,699,NL;PL
Delphinium elatum L.,,,,,,,,,,
Dendrocalamus giganteus Munro,,,,,,,,,,
Dendrocalamus strictus (Roxb.) Nees,,,,1,1975,0.5,,254,,NL
Dentella repens (L.) J.R.Forst. & G.Forst.,,,,,,,,,,
Desmanthus virgatus (L.) Willd.,,,,,,,,,,
Desmodium microphyllum (Thunb.) DC.,,,,,,,,,,
Desmodium neomexicanum A.Gray,,,,,,,,,,
Desmodium scorpiurus (Sw.) Desv.,,,,,,,,,,
Desmodium tortuosum (Sw.) DC.,,,,,,,,,,
Desmodium triflorum (L.) DC.,,,,,,,,,429,PL
Desmodium uncinatum (Jacq.) DC.,,,,,,,,,,
Dianella tasmanica Hook.f.,1,,25,,,,,,349,NL;PL
Dianthus barbatus L.,1,145,1553,,,,,,,NL
Dianthus caryophyllus L.,1,549,228,,,,,,,NL
Dianthus chinensis L.,,,,1,145,,5,1257,399,NL;PL
Dicliptera heterostegia Nees,,,,,,,,,,
Dicliptera paniculata (Forssk.) I.Darbysh.,,,,,,,,,,
Dicoma incana (Baker) O.Hoffm.,,,,,,,,,,
Dicoma tomentosa Cass.,,,,,,,,,,
Dictyosperma album (Bory) Scheff.,1,,218,,,,,,499,NL;PL
Dieffenbachia seguine (Jacq.) Schott,,,,,,,,,399,PL
Dierama pulcherrimum (Hook.f.) Baker,,,,,,,,,,
Dietes iridioides (L.) Sweet ex Klatt,,,,,,,,,,
Digera muricata (L.) Mart.,,,,,,,,,,
Digitalis grandiflora Mill.,,,,,,,,,,
Digitalis purpurea L.,,,,1,145,,,654,,NL
Digitaria ciliaris (Retz.) Koeler,,,,,,,,,,
Digitaria eriantha Steud.,,,,,,,,,,
Digitaria longiflora (Retz.) Pers.,,,,,,,,,,
Digitaria sanguinalis (L.) Scop.,,,,,,,,,,
Dignathia hirtella Stapf,,,,,,,,,,
Dillenia suffruticosa (Griff.) Martelli,,,,,,,,,399,PL
Dimeria ornithopoda Trin.,,,,,,,,,,
Dimorphotheca pluvialis (L.) Moench,,,,,,,,,,
Dinebra retroflexa (Vahl) Panz.,,,,,,,,,,
Dioclea virgata (Rich.) Amshoff,,,,,,,,,,
Diodella teres (Walter) Small,,,,,,,,,,
Diospyros kaki L.f.,,,,,,,,,,
Diplotaxis muralis (L.) DC.,,,,,,,,,,
Dolichandra unguis-cati (L.) L.G.Lohmann,,,,,,,,,,
Dolichandrone spathacea (L.f.) Seem.,,,,,,,,,,
Dombeya mollis Hook.,,,,,,,,,,
Dombeya platanifolia Bojer,,,,,,,,,,
Dombeya spectabilis Bojer,,,,,,,,,,
Dombeya tiliacea (Endl.) Planch.,,,,,,,,,,
Dorstenia bahiensis Klotzsch ex Fisch. & C.A.Mey.,,,,,,,,,,
Dorstenia contrajerva L.,,,,,,,,,,
Dracaena draco (L.) L.,,,,,,,,,,
Drymaria cordata (L.) Willd. ex Schult.,,,,,,,,,,
Drymaria villosa Schltdl. & Cham.,,,,,,,,,,
Duranta erecta L.,,,,,,,,,399,PL
Dypsis decaryi (Jum.) Beentje & J.Dransf.,,,,,,,,,750,PL
Dypsis lutescens (H.Wendl.) Beentje & J.Dransf.,,,,,,,,,399,PL
Dypsis madagascariensis (Becc.) Beentje & J.Dransf.,,,,,,,,,799,PL
Dysphania ambrosioides (L.) Mosyakin & Clemants,,,,,,,,,499,PL
Dysphania botrys (L.) Mosyakin & Clemants,,,,,,,,,,
Dysphania carinata (R.Br.) Mosyakin & Clemants,,,,,,,,,,
Dysphania pumilio (R.Br.) Mosyakin & Clemants,,,,,,,,,,
Dyssodia tenuiloba (DC.) B.L.Rob.,,,,,,,,,,
Echeveria elegans Rose,1,649,686,,,,,,,NL
Echinochloa colona (L.) Link,,,,,,,,,,
Echinochloa crus-galli (L.) P.Beauv.,,,,,,,,,,
Echinochloa crus-pavonis (Kunth) Schult.,,,,,,,,,,
Echinopsis pachanoi (Britton & Rose) Friedrich & G.D.Rowley,,,,,,,,,,
Echium vulgare L.,,,,,,,,,,
Eclipta prostrata (L.) L.,1,399,135,1,,0.5,,228,499,NL;PL
Ehretia microphylla Lam.,1,349,164,,,,,,,NL
Ehrharta erecta Lam.,,,,,,,,,,
Eichhornia crassipes (Mart.) Solms,,,,,,,,,,
Elaeagnus umbellata Thunb.,,,,,,,,,,
Elatine triandra Schkuhr,,,,,,,,,,
Eleocharis acicularis (L.) Roem. & Schult.,,,,,,,,,,
Eleocharis atropurpurea (Retz.) J.Presl & C.Presl,,,,,,,,,,
Eleocharis parishii Britton,,,,,,,,,,
Eleocharis quinqueflora (Hartmann) O.Schwarz,,,,,,,,,,
Elephantopus scaber L.,,,,,,,,,499,PL
Eleutheranthera ruderalis (Sw.) Sch.Bip.,,,,,,,,,,
Eleutherine bulbosa (Mill.) Urb.,,,,,,,,,499,PL
Elodea canadensis Michx.,,,,,,,,,,
Emex australis Steinh.,,,,,,,,,,
Emex spinosa (L.) Campd.,,,,,,,,,,
Emilia coccinea (Sims) G.Don,,,,,,,,,,
Emilia fosbergii Nicolson,,,,,,,,,,
Emilia sonchifolia (L.) DC. ex DC.,,,,,,,,,,
Enneapogon persicus Boiss.,,,,,,,,,,
Ensete ventricosum (Welw.) Cheesman,1,,146,,,,,,599,NL;PL
Epidendrum radicans Pav. ex Lindl.,1,,16,,,,,,1499,NL;PL
Epiphyllum hookeri Haw.,,,,,,,,,,
Epiphyllum macropterum (Lem.) Britton & Rose,,,,,,,,,,
Epiphyllum oxypetalum (DC.) Haw.,1,399,3715,,,,,,899,NL;PL
Epipremnum pinnatum (L.) Engl.,,,,,,,,,899,PL
Episcia cupreata (Hook.) Hanst.,,,,,,,,,399,PL
Episcia reptans Mart.,,,,,,,,,,
Eragrostis amabilis (L.) Wight & Arn.,,,,,,,,,,
Eragrostis atrovirens (Desf.) Trin. ex Steud.,,,,,,,,,,
Eragrostis cilianensis (All.) Janch.,,,,,,,,,,
Eragrostis curvula (Schrad.) Nees,,,,,,,,,,
Eragrostis papposa (Desf. ex Roem. & Schult.) Steud.,,,,,,,,,,
Eragrostis pilosa (L.) P.Beauv.,,,,,,,,,,
Eragrostis superba Peyr.,,,,,,,,,,
Eragrostis tef (Zucc.) Trotter,,,,,,,,,,
Ercilla spicata (Vertero) Moq.,,,,,,,,,,
Erechtites valerianifolia (Link ex Wolf) Less. ex DC.,,,,,,,,,,
Eremochloa ophiuroides (Munro) Hack.,,,,,,,,,,
Erica arborea L.,,,,,,,,,499,PL
Erica caffra L.,,,,,,,,,,
Erigeron annuus (L.) Pers.,,,,,,,,,,
Erigeron bonariensis L.,,,,,,,,,,
Erigeron canadensis L.,1,,156,,,,,,,NL
Erigeron floribundus (Kunth) Sch.Bip.,,,,,,,,,,
Erigeron karvinskianus DC.,,,,,,,,,,
Erigeron sublyratus Roxb. ex DC.,,,,,,,,,,
Erigeron sumatrensis Retz.,,,,,,,,,,
Eriocaulon cinereum R.Br.,,,,,,,,,,
Eriochloa fatmensis (Hochst. & Steud.) Clayton,,,,,,,,,,
Erodium manescavi Coss.,,,,,,,,,,
Erodium moschatum (L.) L'Hér.,,,,,,,,,,
Erophila verna (L.) DC.,,,,,,,,,,
Eruca vesicaria (L.) Cav.,,,,,,,,,,
Eryngium foetidum L.,1,,125,,,,,,499,NL;PL
Erythrina herbacea L.,,,,,,,,,,
Escallonia bifida Link & Otto,,,,,,,,,,
Escallonia rubra (Ruiz & Pav.) Pers.,,,,,,,,,,
Eschscholzia californica Cham.,,,,,,,,,,
Etlingera elatior (Jack) R.M.Sm.,,,,,,,,,1289,PL
Eucalyptus alba Reinw. ex Blume,,,,,,,,,,
Eucalyptus ambigua A.Cunn. ex DC.,,,,,,,,,,
Eucalyptus amygdalina Labill.,,,,,,,,,,
Eucalyptus baxteri (Benth.) J.M.Black,,,,,,,,,,
Eucalyptus blakelyi Maiden,,,,,,,,,,
Eucalyptus bosistoana F.Muell.,,,,,,,,,,
Eucalyptus bridgesiana F.Muell. ex R.T.Baker,,,,,,,,,,
Eucalyptus camaldulensis Dehnh.,,,,1,115,0.5,,29,,NL
Eucalyptus cephalocarpa Blakely,,,,,,,,,,
Eucalyptus cladocalyx F.Muell.,,,,,,,,,,
Eucalyptus crebra F.Muell.,,,,,,,,,,
Eucalyptus cypellocarpa L.A.S.Johnson,,,,,,,,,,
Eucalyptus diversicolor F.Muell.,,,,,,,,,,
Eucalyptus elata Dehnh.,,,,,,,,,,
Eucalyptus eugenioides Sieber ex Spreng.,,,,,,,,,,
Eucalyptus globulus Labill.,,,,,,,,,499,PL
Eucalyptus leucoxylon F.Muell.,,,,,,,,,,
Eucalyptus macarthurii H.Deane & Maiden,,,,,,,,,,
Eucalyptus megacornuta C.A.Gardner,,,,,,,,,,
Eucalyptus melliodora A.Cunn. ex Schauer,,,,,,,,,,
Eucalyptus moluccana Wall. ex Roxb.,,,,,,,,,,
Eucalyptus ovata Labill.,,,,,,,,,,
Eucalyptus pauciflora Sieber ex Spreng.,,,,,,,,,,
Eucalyptus pilularis Sm.,,,,1,,1,,218,,NL
Eucalyptus piperita Sm.,,,,,,,,,,
Eucalyptus polyanthemos Schauer,,,,,,,,,,
Eucalyptus racemosa Cav.,,,,,,,,,,
Eucalyptus rummeryi Maiden,,,,,,,,,,
Eucalyptus saligna Sm.,,,,,,,,,,
Eucalyptus siderophloia Benth.,,,,,,,,,,
Eucalyptus staigeriana F.Muell. ex F.M.Bailey,,,,,,,,,,
Eucalyptus whitei Maiden & Blakely,,,,,,,,,,
Eucomis autumnalis (Mill.) Chitt.,,,,,,,,,,
Eucomis comosa (Houtt.) Wehrh.,,,,,,,,,,
Eugenia uniflora L.,,,,,,,,,,
Euonymus japonicus Thunb.,1,349,,,,,,,499,NL;PL
Eupatorium cannabinum L.,,,,,,,,,,
Eupatorium capillifolium (Lam.) Small ex Porter & Britton,,,,,,,,,,
Euphorbia chamaesyce L.,,,,,,,,,,
Euphorbia cotinifolia L.,,,,,,,,,399,PL
Euphorbia cyathophora Murray,,,,,,,,,,
Euphorbia graminea Jacq.,,,,,,,,,,
Euphorbia grandicornis Goebel ex N.E.Br.,,,,,,,,,,
Euphorbia helioscopia L.,,,,,,,,,,
Euphorbia heterophylla L.,,,,,,,,,,
Euphorbia hirta L.,,,,,,,,,,
Euphorbia hispida Boiss.,,,,,,,,,,
Euphorbia hypericifolia L.,,,,,,,,,,
Euphorbia hyssopifolia L.,,,,,,,,,,
Euphorbia indica Lam.,,,,,,,,,,
Euphorbia lacei Craib,,,,,,,,,,
Euphorbia marginata Pursh,,,,,,,,,,
Euphorbia mauritanica L.,,,,,,,,,,
Euphorbia peplus L.,,,,,,,,,,
Euphorbia prostrata Aiton,,,,,,,,,,
Euphorbia pulcherrima Willd. ex Klotzsch,,,,,,,,,,
Euphorbia serpens Kunth,,,,,,,,,,
Euphorbia thymifolia L.,,,,,,,,,,
Euphorbia tirucalli L.,1,399,342,,,,,,699,NL;PL
Euphorbia tithymaloides L.,1,349,166,,,,,,,NL
Euphorbia umbellata (Pax) Bruyns,,,,,,,,,,
Euryops pectinatus (L.) Cass.,,,,,,,,,419,PL
Euterpe edulis Mart.,,,,,,,,,,
Evolvulus glomeratus Nees & C.Mart.,,,,,,,,,399,PL
Evolvulus nummularius (L.) L.,,,,,,,,,,
Fagonia bruguieri DC.,,,,,,,,,,
Fagopyrum esculentum Moench,,,,,,,,,,
Fagus sylvatica L.,,,,,,,,,,
Falcataria moluccana (Miq.) Barneby & J.W.Grimes,,,,,,,,,,
Farfugium japonicum (L.) Kitam.,,,,,,,,,,
Farsetia heliophila Bunge ex Coss.,,,,,,,,,,
Felicia amelloides (L.) Voss,,,,,,,,,,
Felicia heterophylla (Cass.) Grau,,,,,,,,,,
Fernandoa adenophylla (Wall. ex G.Don) Steenis,,,,,,,,,499,PL
Ficus auriculata Lour.,,,,,,,,,,
Ficus carica L.,,,,,,,,,,
Ficus palmata Forssk.,,,,,,,,,,
Ficus pumila L.,1,249,647,,,,,,,NL
Ficus racemosa L.,,,,1,1267,0.5,,23,319,NL;PL
Fimbristylis cymosa R.Br.,,,,,,,,,,
Fimbristylis littoralis Gaudich.,,,,,,,,,,
Flaveria australasica Hook.,,,,,,,,,,
Flaveria bidentis (L.) Kuntze,,,,,,,,,,
Flaveria trinervia (Spreng.) C.Mohr,,,,,,,,,,
Fragaria vesca L.,,,,,,,,,,
Freesia refracta (Jacq.) Klatt,,,,,,,,,,
Fuchsia boliviana Carrière,,,,,,,,,899,PL
Fuchsia fulgens Moc. & Sessé ex DC.,,,,,,,,,,
Fuchsia magellanica Lam.,,,,,,,,,,
Fuchsia paniculata Lindl.,,,,,,,,,,
Fuchsia regia (Vand. ex Vell.) Munz,,,,,,,,,999,PL
Fumaria indica (Hausskn.) Pugsley,1,,14,,,,,,,NL
Fumaria officinalis L.,,,,,,,,,,
Funtumia africana (Benth.) Stapf,,,,,,,,,,
Furcraea foetida (L.) Haw.,,,,,,,,,,
Gaillardia aristata Pursh,,,,,,,,,,
Galinsoga parviflora Cav.,,,,,,,,,299,PL
Galinsoga quadriradiata Ruiz & Pav.,,,,,,,,,,
Galium palustre L.,,,,,,,,,,
Garcinia madruno (Kunth) Hammel,,,,,,,,,,
Gardenia thunbergia Thunb.,,,,,,,,,,
Gardenia volkensii K.Schum.,,,,,,,,,,
Gazania linearis (Thunb.) Druce,,,,,,,,,,
Genista canariensis L.,,,,,,,,,,
Genista monspessulana (L.) L.A.S.Johnson,,,,,,,,,,
Gentiana quadrifaria Blume,,,,,,,,,,
Gisekia pharnaceoides L.,1,,241,,,,,,,NL
Gladiolus dalenii Van Geel,,,,,,,,,499,PL
Gladiolus undulatus L.,,,,,,,,,,
Glandularia aristigera (S.Moore) Tronc.,,,,,,,,,,
Glandularia bipinnatifida (Schauer) Nutt.,,,,,,,,,,
Glandularia laciniata (L.) Schnack & Covas,,,,,,,,,,
Glebionis coronaria (L.) Cass. ex Spach,,,,,,,,,,
Glebionis segetum (L.) Fourr.,,,,,,,,,399,PL
Gleditsia macracantha Desf.,,,,,,,,,,
Glinus oppositifolius (L.) Aug.DC.,,,,,,,,,,
Gliricidia sepium (Jacq.) Walp.,,,,,,,,,,
Gloriosa superba L.,1,31,1559,1,4132,0.5,,171,,NL
Glossocardia bosvallia (L.f.) DC.,,,,,,,,,,
Gloxinia perennis (L.) Druce,,,,,,,,,499,PL
Gmelina asiatica L.,,,,,,,,,499,PL
Gnaphalium coarctatum Willd.,,,,,,,,,,
Gnaphalium pensylvanicum Willd.,,,,,,,,,,
Gnaphalium polycaulon Pers.,,,,,,,,,,
Gnaphalium purpureum L.,,,,,,,,,,
Gomphocarpus fruticosus (L.) W.T.Aiton,,,,,,,,,,
Gomphocarpus physocarpus E.Mey.,1,,171,,,,,,699,NL;PL
Gomphrena celosioides Mart.,,,,,,,,,,
Gomphrena globosa L.,,,,,,,,,399,PL
Gomphrena serrata L.,,,,,,,,,,
Goniocaulon indicum (Klein ex Willd.) Benth ex C.B.Clarke,,,,,,,,,,
Gossypium stocksii Mast.,,,,,,,,,,
Grangea maderaspatana (L.) Poir.,,,,,,,,,,
Grevillea banksii R.Br.,,,,,,,,,,
Grevillea bipinnatifida R.Br.,,,,,,,,,,
Grevillea hilliana F.Muell.,,,,,,,,,,
Grevillea speciosa (Knight) McGill.,,,,,,,,,,
Guizotia abyssinica (L.f.) Cass.,,,,,,,,,,
Gustavia gracillima Miers,,,,,,,,,,
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,,,,,,,,,,
Gynatrix pulchella (Willd.) Alef.,,,,,,,,,,
Gypsophila muralis L.,,,,,,,,,,
Gypsophila paniculata L.,,,,,,,,,,
Gyrinops walla Gaertn.,,,,,,,,,,
Habranthus tubispathus (L'Hér.) Traub,,,,,,,,,,
Hackelochloa granularis (L.) Kuntze,,,,,,,,,,
Hakea laurina R.Br.,,,,,,,,,,
Hakea salicifolia (Vent.) B.L.Burtt,,,,,,,,,,
Hakea sericea Schrad.,,,,,,,,,,
Halopyrum mucronatum (L.) Stapf,,,,,,,,,,
Handroanthus serratifolius (Vahl) S.O.Grose,,,,,,,,,,
Hardenbergia comptoniana (Andrews) Benth.,,,,,,,,,,
Harrisia bonplandii (Parm.) Britton & Rose,,,,,,,,,,
Harrisia pomanensis (F.A.C.Weber ex K.Schum.) Britton & Rose,,,,,,,,,,
Hedera helix L.,1,249,2593,,,,,,249,NL;PL
Helianthus annuus L.,,,,1,55,,35,3438,399,NL;PL
Helianthus debilis Nutt.,,,,,,,,,,
Helianthus pauciflorus Nutt.,,,,,,,,,,
Helichrysum bracteatum (Venten.) Willd.,1,145,629,,,,,,499,NL;PL
Heliconia angusta Vell.,,,,,,,,,499,PL
Heliconia bihai (L.) L.,,,,,,,,,499,PL
Heliconia psittacorum L.f.,1,399,369,,,,,,375,NL;PL
Heliconia rostrata Ruiz & Pav.,1,399,33,,,,,,44,NL;PL
Heliotropium curassavicum L.,,,,,,,,,,
Heliotropium indicum L.,,,,,,,,,499,PL
Heliotropium subulatum Hochst. ex DC.,,,,,,,,,,
Hemerocallis fulva (L.) L.,1,399,27,,,,,,,NL
Hemerocallis lilioasphodelus L.,,,,,,,,,,
Herissantia crispa (L.) Brizicky,,,,,,,,,,
Herminium lanceum (Thunb. ex Sw.) Vuijk,,,,,,,,,,
Hesperis matronalis L.,,,,,,,,,,
Hibiscus cannabinus L.,,,,,,,,,,
Hibiscus micranthus L.f.,,,,,,,,,,
Hibiscus panduriformis Burm.f.,,,,,,,,,,
Hibiscus trionum L.,,,,,,,,,,
Hibiscus vitifolius L.,,,,,,,,,,
Hieracium crocatum Fr.,,,,,,,,,,
Hippeastrum reginae (L.) Herb.,,,,,,,,,,
Hippobroma longiflora (L.) G.Don,,,,,,,,,,
Hippuris vulgaris L.,,,,,,,,,,
Homalium ceylanicum (Gardner) Benth.,,,,,,,,,,
Hordeum vulgare L.,,,,,,,,,499,PL
Hovenia dulcis Thunb.,,,,,,,,,,
Howea forsteriana (F.Muell.) Becc.,,,,,,,,,,
Hoya carnosa (L.f.) R.Br.,1,699,26,,,,,,,NL
Humulus lupulus L.,1,,283,,,,,,,NL
Hydrangea macrophylla (Thunb.) Ser.,1,339,785,,,,,,549,NL;PL
Hydrocharis dubia (Blume) Backer,,,,,,,,,,
Hymenaea verrucosa Gaertn.,,,,,,,,,,
Hymenocallis littoralis (Jacq.) Salisb.,,,,1,46,,,1468,699,NL;PL
Hymenosporum flavum F.Muell.,1,,277,,,,,,499,NL;PL
Hyophorbe amaricaulis Mart.,,,,,,,,,,
Hyophorbe verschaffeltii H.Wendl.,1,,186,,,,,,899,NL;PL
Hyoscyamus niger L.,,,,,,,,,,
Hypericum androsaemum L.,,,,,,,,,,
Hypericum monogynum L.,,,,,,,,,,
Hypericum patulum Thunb.,,,,,,,,,,
Hyphaene thebaica (L.) Mart.,1,,222,,,,,,499,NL;PL
Hypochaeris glabra L.,,,,,,,,,,
Hypochaeris radicata L.,,,,,,,,,,
Hypoestes sanguinolenta (Van Houtte) Hook.f.,,,,,,,,,422,PL
Hyptis capitata Jacq.,,,,,,,,,,
Hyptis pectinata (L.) Poit.,,,,,,,,,,
